Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
July 31 2023,Pinal,AZ,Passenger,1,1,2,92,94,2.13
September 30 2023,Jefferson,NY,Passenger,2,0,2,194,196,1.02
November 30 2023,Calvert,MD,Passenger,1,1,2,76,78,2.56
August 31 2021,Rogers,OK,Passenger,1,0,1,7,8,12.5
April 30 2021,Prince George's,MD,Passenger,2,1,3,153,156,1.92
April 30 2021,Lewis,WA,Truck,0,0,0,26904,26904,0
March 31 2022,Adams,WA,Truck,0,0,0,5488,5488,0
February 28 2017,Hidalgo,TX,Passenger,0,1,1,97,98,1.02
November 30 2023,Charlottesville,VA,Passenger,0,1,1,2,3,33.33
March 31 2018,Pacific,WA,Passenger,15,18,33,15453,15486,0.21
March 31 2018,Klickitat,WA,Truck,0,0,0,8038,8038,0
July 31 2021,Wichita,TX,Passenger,1,0,1,43,44,2.27
March 31 2024,District of Columbia,DC,Passenger,2,0,2,129,131,1.53
June 30 2023,Benton,WA,Truck,25,0,25,43189,43214,0.06
March 31 2023,Adams,WA,Truck,2,0,2,5351,5353,0.04
April 30 2022,Loudoun,VA,Passenger,2,1,3,69,72,4.17
February 28 2023,Pend Oreille,WA,Passenger,26,13,39,8912,8951,0.44
December 31 2018,Alameda,CA,Passenger,0,2,2,335,337,0.59
January 31 2020,Okanogan,WA,Truck,0,0,0,16553,16553,0
March 31 2021,Dallas,TX,Passenger,1,0,1,182,183,0.55
February 29 2020,Prince William,VA,Passenger,2,4,6,235,241,2.49
June 30 2020,Penobscot,ME,Passenger,0,1,1,13,14,7.14
September 30 2019,Ramsey,MN,Passenger,1,0,1,47,48,2.08
December 31 2023,Solano,CA,Passenger,5,0,5,131,136,3.68
May 31 2022,Rogers,OK,Passenger,1,0,1,6,7,14.29
June 30 2023,Brown,WI,Passenger,1,0,1,6,7,14.29
January 31 2017,El Paso,CO,Passenger,1,1,2,885,887,0.23
March 31 2022,Thurston,WA,Truck,3,0,3,55636,55639,0.01
September 30 2023,Contra Costa,CA,Passenger,1,1,2,161,163,1.23
November 30 2019,Nassau,NY,Passenger,4,0,4,45,49,8.16
July 31 2017,St. Lucie,FL,Passenger,1,0,1,31,32,3.12
March 31 2024,Isle of Wight,VA,Passenger,0,1,1,16,17,5.88
August 31 2020,Thurston,WA,Passenger,1192,751,1943,196905,198848,0.98
November 30 2023,Clark,WA,Passenger,6947,2606,9553,313730,323283,2.95
September 30 2017,Richland,SC,Passenger,0,1,1,187,188,0.53
February 28 2023,Brown,WI,Passenger,1,0,1,6,7,14.29
August 31 2022,Yakima,WA,Truck,1,0,1,61327,61328,0
October 31 2020,Santa Clara,CA,Passenger,6,2,8,292,300,2.67
May 31 2023,Kern,CA,Passenger,1,1,2,186,188,1.06
September 30 2020,New London,CT,Passenger,1,2,3,236,239,1.26
September 30 2017,Prince William,VA,Passenger,0,4,4,266,270,1.48
October 31 2023,Anchorage,AK,Passenger,1,0,1,95,96,1.04
January 31 2021,Spokane,WA,Passenger,910,550,1460,320757,322217,0.45
April 30 2020,Chelan,WA,Passenger,224,80,304,54219,54523,0.56
January 31 2017,Adams,WA,Truck,0,0,0,5076,5076,0
February 28 2021,Los Angeles,CA,Passenger,9,10,19,983,1002,1.9
January 31 2023,Botetourt,VA,Passenger,1,0,1,1,2,50
February 28 2023,Sacramento,CA,Truck,1,0,1,37,38,2.63
January 31 2022,Norfolk,VA,Passenger,2,3,5,318,323,1.55
February 28 2023,Klickitat,WA,Passenger,126,57,183,15110,15293,1.2
March 31 2023,Deschutes,OR,Passenger,2,0,2,85,87,2.3
February 28 2023,Kent,DE,Passenger,1,0,1,50,51,1.96
April 30 2024,Arapahoe,CO,Passenger,2,1,3,65,68,4.41
March 31 2019,Benton,WA,Truck,0,0,0,41529,41529,0
March 31 2020,Clallam,WA,Truck,1,0,1,21807,21808,0
June 30 2018,Fairfax,VA,Passenger,3,1,4,831,835,0.48
October 31 2020,Ventura,CA,Passenger,1,1,2,292,294,0.68
February 28 2023,Nueces,TX,Passenger,0,1,1,55,56,1.79
April 30 2022,Randolph,NC,Passenger,1,0,1,5,6,16.67
September 30 2018,Carroll,NH,Passenger,0,1,1,1,2,50
October 31 2018,Chelan,WA,Passenger,126,59,185,53927,54112,0.34
June 30 2020,Benton,WA,Passenger,358,321,679,134179,134858,0.5
March 31 2020,Jefferson,WA,Passenger,234,141,375,25061,25436,1.47
March 31 2021,Okanogan,WA,Truck,0,0,0,16661,16661,0
September 30 2022,Wahkiakum,WA,Passenger,24,12,36,3078,3114,1.16
December 31 2017,Norfolk,VA,Passenger,1,1,2,313,315,0.63
July 31 2024,Hillsborough,FL,Passenger,2,1,3,71,74,4.05
July 31 2019,Bergen,NJ,Passenger,1,0,1,26,27,3.7
May 31 2021,Montgomery,AL,Passenger,1,0,1,41,42,2.38
